PLAYERS,TEAM,GP,MIN,Salary,OFFRTG,DEFRTG,NETRTG,AST%,ASTTO,ASTRATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,USG%,PACE,PIE,TotalRTG
Damian Lillard,Bucks,73,35.3,45640084,119.4,112.4,6.9,28.4,2.63,23.2,1.4,10.2,6,8.8,51,59,27.4,102.06,13.2,231.8
Giannis Antetokounmpo,Bucks,73,35.2,45640084,119.8,113.2,6.6,31.4,1.9,19.6,7.7,23.7,15.9,10.3,62.4,64.9,32,102.1,19.7,233
Brook Lopez,Bucks,79,30.5,25000000,117.1,111.9,5.2,7.1,1.61,12.5,4.9,11,8.1,7.8,58.3,60.8,15.6,102.16,8.3,229
Malik Beasley,Bucks,79,29.6,2019706,118.3,112.6,5.8,5.9,2,12,1.7,9.8,5.9,6,59.8,60.3,14.2,102.26,6.5,230.9
Khris Middleton,Bucks,55,27,29320988,118,114.6,3.4,27.2,2.3,26.3,2.7,13.4,8.3,11.4,56.6,59.5,23,102.11,11.7,232.6
Bobby Portis,Bucks,82,24.5,11710818,115.9,116,-0.1,7.8,1.14,8.9,7.1,22.8,15,7.8,56.2,58.1,22.4,100.49,12.2,231.9
Jae Crowder,Bucks,50,23.1,2019706,112.3,114.9,-2.6,7.6,2.87,17.7,2.6,11.3,6.9,6.2,53,54.6,11.3,101.49,5.9,227.2
Pat Connaughton,Bucks,76,22.1,9423869,115.1,115.9,-0.8,12.3,3.29,27.7,3,11.2,7.1,8.4,55.3,57.4,10.6,101.34,6.6,231
Donovan Mitchell,Caveliers,55,35.3,33162030,115.9,108.6,7.3,26.8,2.16,19.5,2.4,11.6,7.1,9,54.5,59.5,30.1,99.82,15,224.5
Darius Garland,Caveliers,57,33.3,34005250,113.5,111.4,2.1,29.5,2.12,25.5,1.7,6.4,4.1,12,52.4,56,24.9,98.02,10.4,224.9
Max Strus,Caveliers,70,32,14487684,115.3,109.7,5.6,16.6,2.53,24.4,3,11.7,7.4,9.6,53.3,55.3,16.7,99.71,8.1,225
Jarrett Allen,Caveliers,77,31.7,20000000,115.5,110.7,4.8,12.8,1.74,16.3,10.3,23.1,16.8,9.4,63.4,66.4,19.1,98.66,14.9,226.2
Evan Mobley,Caveliers,50,30.6,8882640,111.2,110.1,1.2,15.5,1.78,18.2,7.4,22,15,10.3,59.9,62.5,20,100.58,13.9,221.3
Caris LeVert,Caveliers,68,28.8,15384616,113.9,111.2,2.8,25.8,2.96,25.1,2,12.1,7.1,8.5,48.7,52.4,22.4,99.71,10.7,225.1
Isaac Okoro,Caveliers,69,27.3,8920795,113.1,110.7,2.4,9.5,2.44,18.3,3.6,7.2,5.4,7.5,57.7,59.9,13.6,98.24,6.7,223.8
Georges Niang,Caveliers,82,22.3,8800000,114.4,113.9,0.6,7.5,1.36,11.9,1.2,13.8,7.6,8.7,56.7,58.3,17.3,98.61,6.9,228.3
Jayson Tatum,Celtics,74,35.7,32600060,121.7,110.5,11.2,21.1,1.94,16.7,2.6,18.7,11,8.6,55.2,60.4,29.6,98.64,15.5,232.2
Jaylen Brown,Celtics,70,33.5,31830357,120.2,111.6,8.7,16.5,1.5,13.9,3.7,11.9,8,9.3,55.7,58,28.3,99.94,11.6,231.8
